Job Title,Job ID,Location,Experience Required,Employment Type,Posting Date,Job URL,Description
"GTM & CoE Lead, Insights & Data",JOB_0001,Eindhoven,N/A,Data & AI,N/A,https://www.capgemini.com/careers/join-capgemini/job-search/?page=1&size=11,"GTM & CoE Lead, Insights & Data | Eindhoven, Utrecht, Amsterdam, Assen, Groningen + 4"
Senior .Net Engineer (C# / IoT),JOB_0002,Kyiv,N/A,Software Engineering,N/A,https://www.capgemini.com/careers/join-capgemini/job-search/?page=1&size=11,"Senior .Net Engineer (C# / IoT) | Kyiv, Lviv, Rivne, Odesa, HITECHPARKODESA"
Senior .Net Engineer (C# / IoT),JOB_0003,Kyiv,N/A,Software Engineering,N/A,https://www.capgemini.com/careers/join-capgemini/job-search/?page=1&size=11,"Senior .Net Engineer (C# / IoT) | Kyiv, HITECHPARKODESA, Rivne, Lviv"
Senior Python Engineer,JOB_0004,Kyiv,N/A,Software Engineering,N/A,https://www.capgemini.com/careers/join-capgemini/job-search/?page=1&size=11,"Senior Python Engineer | Kyiv, Lviv, Rivne, Odesa, HITECHPARKODESA"
Senior GIS Consultant / Technical Lead,JOB_0005,Bucharest,N/A,Software Engineering,N/A,https://www.capgemini.com/careers/join-capgemini/job-search/?page=1&size=11,"Senior GIS Consultant / Technical Lead | Iasi, Bucharest"
Senior Consultant (SAP FI/CO),JOB_0006,Cluj,N/A,SaaS Solutions,N/A,https://www.capgemini.com/careers/join-capgemini/job-search/?page=1&size=11,"Senior Consultant (SAP FI/CO) | Cluj-Napoca, Iasi, Brasov, Bucuresti"
Python Backend Developer,JOB_0007,Bucharest,N/A,Software Engineering,N/A,https://www.capgemini.com/careers/join-capgemini/job-search/?page=1&size=11,"Python Backend Developer | Timisoara, Bucuresti, Iasi, Bucharest, Brasov + 2"
Junior Data Engineer,JOB_0008,Bucharest,N/A,Software Engineering,N/A,https://www.capgemini.com/careers/join-capgemini/job-search/?page=1&size=11,"Junior Data Engineer | Timisoara, Bucuresti, Iasi, Bucharest, Brasov + 2"
Data Engineer Databricks,JOB_0009,Cluj,N/A,Cloud Infrastructure Management,N/A,https://www.capgemini.com/careers/join-capgemini/job-search/?page=1&size=11,"Data Engineer Databricks | Cluj-Napoca, Iasi, Brasov, Bucuresti"
MS Azure DevOps Engineer,JOB_0010,Bucharest,N/A,Software Engineering,N/A,https://www.capgemini.com/careers/join-capgemini/job-search/?page=1&size=11,"MS Azure DevOps Engineer | Timisoara, Cluj-Napoca, Bucuresti, Iasi, Bucharest + 2"
Technical Project Manager,JOB_0011,Bucharest,N/A,Products & Systems Engineering,N/A,https://www.capgemini.com/careers/join-capgemini/job-search/?page=1&size=11,"Technical Project Manager | Bucuresti, Iasi, Brasov, Bucharest, Cluj-Napoca"
Architecture (312),JOB_0012,N/A,N/A,Business Risk Management (1),N/A,https://www.capgemini.com/careers/join-capgemini/job-search/?page=1&size=11,Architecture (312) | Business Analysis (265)
Manufacturing & Operations Engineering (353),JOB_0013,N/A,N/A,Marketing & Communications (10),N/A,https://www.capgemini.com/careers/join-capgemini/job-search/?page=1&size=11,Manufacturing & Operations Engineering (353) | Manufacturing & Process Engineering (5)
Products & Systems Engineering (821),JOB_0014,N/A,N/A,SaaS Solutions (501),N/A,https://www.capgemini.com/careers/join-capgemini/job-search/?page=1&size=11,Products & Systems Engineering (821) | Quality Engineering & Testing (223)
Software Engineering (1477),JOB_0015,N/A,N/A,Supply Chain (96),N/A,https://www.capgemini.com/careers/join-capgemini/job-search/?page=1&size=11,Software Engineering (1477) | Strategy & Transformation (622)
Capgemini Engineering (1700),JOB_0016,N/A,N/A,Frog (39),N/A,https://www.capgemini.com/careers/join-capgemini/job-search/?page=1&size=11,Capgemini Engineering (1700) | Capgemini Invent (600)
Senior Java Developer|8-10Yrs|Pune,JOB_0101,Pune,8-10 Years,Permanent,2026-09-01,https://www.capgemini.com/careers/join-capgemini/job-search/?page=1&size=11,Senior Java Developer with 8-10 years experience in Spring Boot and Microservices. Location: Pune
Python Full Stack Developer|5-7Yrs|Pune,JOB_0102,Pune,5-7 Years,Permanent,2026-09-02,https://www.capgemini.com/careers/join-capgemini/job-search/?page=1&size=11,Python Full Stack Developer with Django/Flask experience. Location: Pune
Cloud Architect|10-12Yrs|Hyderabad,JOB_0103,Hyderabad,10-12 Years,Permanent,2026-08-28,https://www.capgemini.com/careers/join-capgemini/job-search/?page=1&size=11,Cloud Architect for AWS/Azure solutions. Location: Hyderabad
Data Engineer|6-8Yrs|Hyderabad,JOB_0104,Hyderabad,6-8 Years,Permanent,2026-08-30,https://www.capgemini.com/careers/join-capgemini/job-search/?page=1&size=11,Data Engineer with Big Data and Spark expertise. Location: Hyderabad
DevOps Engineer|4-6Yrs|Hyderabad,JOB_0105,Hyderabad,4-6 Years,Permanent,2026-09-01,https://www.capgemini.com/careers/join-capgemini/job-search/?page=1&size=11,DevOps Engineer with Kubernetes and Docker experience. Location: Hyderabad
Business Analyst|3-5Yrs|Pune,JOB_0106,Pune,3-5 Years,Permanent,2026-09-01,https://www.capgemini.com/careers/join-capgemini/job-search/?page=1&size=11,Business Analyst for Banking and Finance domain. Location: Pune
