Keyword,Frequency
engineer,8
iasi,7
senior,6
bucuresti,6
engineering,6
location,6
data,5
bucharest,5
brasov,5
cluj,4
napoca,4
kyiv,3
lviv,3
rivne,3
hitechparkodesa,3
python,3
developer,3
timisoara,3
experience,3
pune,3
hyderabad,3
lead,2
net,2
iot,2
odesa,2
consultant,2
technical,2
azure,2
devops,2
business,2
manufacturing,2
capgemini,2
gtm,1
coe,1
insights,1
eindhoven,1
utrecht,1
amsterdam,1
assen,1
groningen,1
gis,1
sap,1
backend,1
junior,1
databricks,1
project,1
manager,1
architecture,1
analysis,1
operations,1
process,1
products,1
systems,1
quality,1
testing,1
software,1
strategy,1
transformation,1
invent,1
java,1
years,1
spring,1
boot,1
microservices,1
full,1
stack,1
django,1
flask,1
cloud,1
architect,1
aws,1
solutions,1
big,1
spark,1
expertise,1
kubernetes,1
docker,1
analyst,1
banking,1
finance,1
domain,1
